dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1848-10-01,,,Alagoinhas,Brazil,12.05S,37.81W
1848-11-01,,,Alagoinhas,Brazil,12.05S,37.81W
1848-12-01,,,Alagoinhas,Brazil,12.05S,37.81W
1849-01-01,,,Alagoinhas,Brazil,12.05S,37.81W
1849-02-01,,,Alagoinhas,Brazil,12.05S,37.81W
1849-03-01,,,Alagoinhas,Brazil,12.05S,37.81W
1849-04-01,,,Alagoinhas,Brazil,12.05S,37.81W
1849-05-01,,,Alagoinhas,Brazil,12.05S,37.81W
1849-06-01,,,Alagoinhas,Brazil,12.05S,37.81W
1849-07-01,,,Alagoinhas,Brazil,12.05S,37.81W
1849-08-01,,,Alagoinhas,Brazil,12.05S,37.81W
1849-09-01,,,Alagoinhas,Brazil,12.05S,37.81W
1849-10-01,,,Alagoinhas,Brazil,12.05S,37.81W
1849-11-01,,,Alagoinhas,Brazil,12.05S,37.81W
1849-12-01,,,Alagoinhas,Brazil,12.05S,37.81W
1850-01-01,,,Alagoinhas,Brazil,12.05S,37.81W
1850-02-01,,,Alagoinhas,Brazil,12.05S,37.81W
1850-03-01,,,Alagoinhas,Brazil,12.05S,37.81W
1850-04-01,,,Alagoinhas,Brazil,12.05S,37.81W
1850-05-01,,,Alagoinhas,Brazil,12.05S,37.81W
1850-06-01,,,Alagoinhas,Brazil,12.05S,37.81W
1850-07-01,,,Alagoinhas,Brazil,12.05S,37.81W
1850-08-01,,,Alagoinhas,Brazil,12.05S,37.81W
1850-09-01,,,Alagoinhas,Brazil,12.05S,37.81W
1850-10-01,,,Alagoinhas,Brazil,12.05S,37.81W
1850-11-01,,,Alagoinhas,Brazil,12.05S,37.81W
1850-12-01,,,Alagoinhas,Brazil,12.05S,37.81W
1851-01-01,26.539,1.167,Alagoinhas,Brazil,12.05S,37.81W
1851-02-01,26.418000000000006,1.23,Alagoinhas,Brazil,12.05S,37.81W
1851-03-01,25.572,1.264,Alagoinhas,Brazil,12.05S,37.81W
1851-04-01,25.418000000000003,1.7469999999999999,Alagoinhas,Brazil,12.05S,37.81W
1851-05-01,24.843000000000004,1.063,Alagoinhas,Brazil,12.05S,37.81W
1851-06-01,23.915000000000006,1.073,Alagoinhas,Brazil,12.05S,37.81W
1851-07-01,23.791,1.4709999999999999,Alagoinhas,Brazil,12.05S,37.81W
1851-08-01,23.449,1.3159999999999998,Alagoinhas,Brazil,12.05S,37.81W
1851-09-01,23.676,1.115,Alagoinhas,Brazil,12.05S,37.81W
1851-10-01,24.972,1.651,Alagoinhas,Brazil,12.05S,37.81W
1851-11-01,25.048000000000002,1.219,Alagoinhas,Brazil,12.05S,37.81W
1851-12-01,25.639,2.427,Alagoinhas,Brazil,12.05S,37.81W
1852-01-01,26.215,1.9769999999999999,Alagoinhas,Brazil,12.05S,37.81W
